train/explained_variance,train/approx_kl,time/total_timesteps,time/fps,train/value_loss,rollout/ep_len_mean,train/std,train/learning_rate,time/time_elapsed,train/clip_range,train/n_updates,train/clip_fraction,rollout/ep_rew_mean,train/entropy_loss,train/loss,train/policy_gradient_loss,time/iterations,eval/mean_ep_length,eval/mean_reward
0.9480352401733398,0.011429442,2949120,7271,0.08319761119782924,102.38,0.9920433163642883,0.0003,405,0.2,890,0.0980224609375,679.34346725,-23.86388454437256,-0.12377586960792542,-0.013336322491522879,90,,
0.9447110891342163,0.0116781145,3000000,,0.09121967814862728,,0.9918221831321716,0.0003,,0.2,910,0.102117919921875,,-23.856921863555907,-0.12269099056720734,-0.013646221836097538,,87.8,759.0919364690781
0.9493584632873535,0.012336237,3276800,7262,0.07605726718902588,105.61,0.9895278811454773,0.0003,451,0.2,990,0.096368408203125,732.2186915300001,-23.799438858032225,-0.1281411498785019,-0.014480175997596234,100,,
0.9479210376739502,0.012769887,3604480,7256,0.08162722438573837,116.46,0.9922855496406555,0.0003,496,0.2,1090,0.1084991455078125,848.7314266999998,-23.80693063735962,-0.1258642077445984,-0.014273696369491518,110,,
0.9516582489013672,0.0125018675,3932160,7252,0.07384915351867676,109.77,0.9949928522109985,0.0003,542,0.2,1190,0.102734375,809.6136485700001,-23.842756748199463,-0.12695249915122986,-0.01423046097625047,120,,
0.9536705613136292,0.013221728,4000000,,0.07107460424304009,,0.9959090948104858,0.0003,,0.2,1220,0.10634765625,,-23.851063537597657,-0.12913711369037628,-0.015107466373592615,,111.0,1035.8733935415744
0.9526330232620239,0.012887841,4259840,7243,0.07206396870315075,114.5,0.9976032376289368,0.0003,588,0.2,1290,0.1129486083984375,920.1097598200001,-23.8749568939209,-0.12883871793746948,-0.014652138308156282,130,,
0.9587210416793823,0.013577942,4587520,7240,0.06645353026688099,117.44,0.997561514377594,0.0003,633,0.2,1390,0.122637939453125,954.3756852099999,-23.842113304138184,-0.1324058473110199,-0.015552751836366951,140,,
0.9536248445510864,0.014322734,4915200,7239,0.07326402179896832,127.81,1.001258134841919,0.0003,678,0.2,1490,0.1258544921875,1069.40135967,-23.854211711883544,-0.13061830401420593,-0.015616105875233188,150,,
0.9547397494316101,0.013276277,5000000,,0.07128689773380756,,1.0006160736083984,0.0003,,0.2,1520,0.11258544921875,,-23.844185543060302,-0.1308155357837677,-0.015536184911616147,,133.8,1214.058008903265
0.9544680118560791,0.0141287185,5242880,7233,0.07117492929100991,126.44,0.9999793767929077,0.0003,724,0.2,1590,0.1279266357421875,1021.0026940300002,-23.824802112579345,-0.13171958923339844,-0.01637496350740548,160,,
0.9581824541091919,0.013903452,5570560,7232,0.06705041863024234,143.65,0.9999446868896484,0.0003,770,0.2,1690,0.12581787109375,1255.50739196,-23.800675010681154,-0.13491147756576538,-0.017122183955507353,170,,
0.9576272368431091,0.014012106,5898240,7231,0.064137371070683,138.16,1.002600908279419,0.0003,815,0.2,1790,0.1249847412109375,1253.4596899700002,-23.826204013824462,-0.13511252403259277,-0.01729643071303144,180,,
0.9538090825080872,0.014255364,6000000,,0.06964366771280765,,1.0037676095962524,0.0003,,0.2,1830,0.12608642578125,,-23.822647380828858,-0.13397301733493805,-0.01713134618476033,,198.6,2258.717362754047
0.9538029432296753,0.015678775,6225920,7226,0.07154714167118073,147.83,1.0054471492767334,0.0003,861,0.2,1890,0.135443115234375,1383.95633228,-23.84173126220703,-0.13532954454421997,-0.018254019203595817,190,,
0.9537846446037292,0.0151181575,6553600,7223,0.07136916220188141,162.19,1.0039008855819702,0.0003,907,0.2,1990,0.129034423828125,1559.6154335899998,-23.782562351226808,-0.1340622901916504,-0.017490169010125102,200,,
0.951977550983429,0.015222359,6881280,7228,0.07224756442010402,176.26,1.0024772882461548,0.0003,952,0.2,2090,0.1338653564453125,1746.9464300699995,-23.74172372817993,-0.13349415361881256,-0.017676650814246388,210,,
0.9564201235771179,0.01533648,7000000,,0.06791436336934567,,1.0031163692474365,0.0003,,0.2,2130,0.135150146484375,,-23.748194313049318,-0.13361312448978424,-0.017667460173834117,,185.8,2035.3297145009042
0.9555082321166992,0.015649045,7208960,7227,0.06534532122313977,177.92,1.0046950578689575,0.0003,997,0.2,2190,0.1367706298828125,1808.76825223,-23.75871868133545,-0.13726705312728882,-0.018828514689812437,220,,
0.9625242352485657,0.015140012,7536640,7233,0.05654210019856691,193.53,1.013140082359314,0.0003,1041,0.2,2290,0.133880615234375,2005.33265435,-23.87126741409302,-0.13997092843055725,-0.018366935750236735,230,,
0.9634786248207092,0.015559951,7864320,7237,0.056385259702801706,210.84,1.0182329416275024,0.0003,1086,0.2,2390,0.1360443115234375,2289.30704083,-23.917458152770998,-0.1395869255065918,-0.018478449585381897,240,,
0.9667089581489563,0.016414374,8000000,,0.04746026545763016,,1.0206161737442017,0.0003,,0.2,2440,0.1405364990234375,,-23.927867126464843,-0.14408622682094574,-0.01935685392236337,,249.6,2768.874098635465
0.9675992131233215,0.015371178,8192000,7236,0.045898139290511605,206.01,1.0254703760147095,0.0003,1132,0.2,2490,0.1288848876953125,2261.13764877,-24.001718616485597,-0.14259134232997894,-0.018021493943524546,250,,
0.9690471291542053,0.016211044,8519680,7239,0.04250478744506836,219.76,1.0326921939849854,0.0003,1176,0.2,2590,0.14237060546875,2417.10545244,-24.089177227020265,-0.14344602823257446,-0.018403107393532993,260,,
0.9732566475868225,0.016020544,8847360,7243,0.034758014418184754,228.0,1.036219835281372,0.0003,1221,0.2,2690,0.1408111572265625,2502.9650924,-24.13207263946533,-0.14716318249702454,-0.019107975368387996,270,,
0.9734580516815186,0.015647864,9000000,,0.03496700208634138,,1.039636492729187,0.0003,,0.2,2740,0.1397674560546875,,-24.16179962158203,-0.14526908099651337,-0.018297854467527942,,248.2,2597.784650468454
0.9690497517585754,0.01670146,9175040,7243,0.03911746554076671,231.83,1.043875813484192,0.0003,1266,0.2,2790,0.1417266845703125,2537.3215691,-24.221496868133546,-0.1456790566444397,-0.019080541183939204,280,,
0.9727705121040344,0.015250227,9502720,7247,0.035427423939108846,245.48,1.0495961904525757,0.0003,1311,0.2,2890,0.13826904296875,2704.40219807,-24.296205043792725,-0.14567245543003082,-0.01794997453689575,290,,
0.9763028621673584,0.0162506,9830400,7250,0.030944765266031026,268.88,1.0549522638320923,0.0003,1355,0.2,2990,0.1330230712890625,2820.1356428599997,-24.35156669616699,-0.14821413159370422,-0.01834264290519059,300,,
0.9783032536506653,0.016459256,10000000,,0.02650161338970065,,1.0582802295684814,0.0003,,0.2,3050,0.1455352783203125,,-24.398494815826417,-0.1508309245109558,-0.019157539424486458,,318.8,3638.3341995894907
0.979927659034729,0.01727093,10158080,7249,0.026243649888783693,255.97,1.0605405569076538,0.0003,1401,0.2,3090,0.14088134765625,2788.9131585800005,-24.42567777633667,-0.1507352590560913,-0.019365238142199814,310,,
0.9775362014770508,0.016089983,10485760,7252,0.02782714944332838,259.68,1.0656863451004028,0.0003,1445,0.2,3190,0.137664794921875,2885.32243794,-24.47480525970459,-0.1489052176475525,-0.018233517196495085,320,,
0.981253981590271,0.015714442,10813440,7254,0.02208275133743882,269.5,1.0719541311264038,0.0003,1490,0.2,3290,0.1397064208984375,3005.5274654199998,-24.54502639770508,-0.15185478329658508,-0.019109039573231713,330,,
0.9780284762382507,0.016496548,11000000,,0.025228103436529637,,1.0750197172164917,0.0003,,0.2,3350,0.1416229248046875,,-24.58046579360962,-0.15219677984714508,-0.019059539271984248,,309.8,3653.8445872485636
0.9823169708251953,0.016789854,11141120,7253,0.021648132149130105,276.36,1.0777933597564697,0.0003,1536,0.2,3390,0.14493408203125,3054.9075198999994,-24.609379005432128,-0.1525883674621582,-0.0191266733687371,340,,
0.9818026423454285,0.015796563,11468800,7255,0.020034592039883135,290.06,1.0852932929992676,0.0003,1580,0.2,3490,0.1420135498046875,3198.91327656,-24.69687843322754,-0.15387298166751862,-0.019156913773622365,350,,
0.9829035401344299,0.016010638,11796480,7257,0.018463326152414083,294.61,1.0956809520721436,0.0003,1625,0.2,3590,0.1469573974609375,3323.24501529,-24.807664394378662,-0.15435850620269775,-0.018773910216987134,360,,
0.9824907183647156,0.015807036,12000000,,0.018329291511327027,,1.1031242609024048,0.0003,,0.2,3660,0.1412872314453125,,-24.909273433685303,-0.15349513292312622,-0.018471248133573683,,309.4,3778.385282731056
