train/entropy_loss,train/approx_kl,train/clip_range,time/total_timesteps,train/clip_fraction,train/std,train/value_loss,rollout/ep_rew_mean,train/policy_gradient_loss,train/learning_rate,train/explained_variance,train/n_updates,time/fps,rollout/ep_len_mean,time/time_elapsed,train/loss,time/iterations,eval/mean_reward,eval/mean_ep_length
-24.135703372955323,0.0141389305,0.2,163840,0.11368408203125,1.00099515914917,0.3983048513531685,225.98171844,-0.015527837735135108,0.00025,0.7014097571372986,90,11515,47.79,14,0.03161102533340454,10,,
-24.057216358184814,0.009533362,0.2,327680,0.070440673828125,0.9961597323417664,0.1055215623229742,318.3531111599999,-0.014558556012343616,0.00025,0.9041533470153809,190,11343,63.55,28,-0.09851393103599548,20,,
-23.99987163543701,0.010166813,0.2,491520,0.08304443359375,0.9935982823371887,0.07155795693397522,389.76414832,-0.01556284649996087,0.00025,0.932405948638916,290,11239,76.85,43,-0.1180250495672226,30,,
-23.974338150024415,0.011065183,0.2,655360,0.0845703125,0.992733895778656,0.05814159512519836,432.22462369,-0.01511016880394891,0.00025,0.9437505602836609,390,11179,87.01,58,-0.12133921682834625,40,,
-24.02663631439209,0.010772322,0.2,819200,0.076251220703125,0.9960739016532898,0.05498632304370403,456.16390609999996,-0.015771806723205373,0.00025,0.945697546005249,490,11148,92.14,73,-0.12540225684642792,50,,
-24.03681583404541,0.010936877,0.2,983040,0.083203125,0.9972712397575378,0.05170004945248365,495.95191243,-0.017094478744547816,0.00025,0.9479348659515381,590,11101,98.86,88,-0.12909500300884247,60,,
-24.003926086425782,0.010910044,0.2,1146880,0.086065673828125,0.9956094026565552,0.04817071203142405,531.44956792,-0.016447015921585262,0.00025,0.9525403380393982,690,11070,105.57,103,-0.13007736206054688,70,,
-23.997094058990477,0.013301146,0.2,1310720,0.1135498046875,0.9953043460845947,0.048411636427044866,605.0749529600001,-0.018686889053788035,0.00025,0.9536982774734497,790,11021,120.41,118,-0.13118305802345276,80,,
-23.944411754608154,0.013290541,0.2,1474560,0.100115966796875,0.9933615326881409,0.04884226657450199,652.7353252099999,-0.02003288920968771,0.00025,0.9514415264129639,890,10977,129.71,134,-0.1350608617067337,90,,
-23.981321239471434,0.013310612,0.2,1638400,0.1031982421875,0.9963939785957336,0.04310809373855591,706.9984842599999,-0.019823030882980673,0.00025,0.9581566452980042,990,10927,138.99,149,-0.1386188417673111,100,,
-24.022781085968017,0.013904465,0.2,1802240,0.11090087890625,0.9995680451393127,0.04970116075128317,818.85434058,-0.02177385943941772,0.00025,0.9525146484375,1090,10925,158.25,164,-0.1385362446308136,110,,
-24.039968013763428,0.013554949,0.2,1966080,0.11669921875,1.0011718273162842,0.04944761078804731,843.4326532599999,-0.02085895062191412,0.00025,0.9518934488296509,1190,10933,164.95,179,-0.1370444893836975,120,,
-24.05888166427612,0.013753673,0.2,2000000,0.10616455078125,1.0023282766342163,0.04825842883437872,,-0.02069017409812659,0.00025,0.9513623714447021,1220,,,,-0.13846203684806824,,1008.6414589166641,179.2
-24.081637954711915,0.014328473,0.2,2129920,0.11788330078125,1.0042908191680908,0.04238709770143032,938.9578432099999,-0.021468104689847677,0.00025,0.9571992754936218,1290,10922,182.14,195,-0.1410277932882309,130,,
-24.11919946670532,0.01380595,0.2,2293760,0.1171142578125,1.0078744888305664,0.04527619294822216,1007.4363920899999,-0.02166756590595469,0.00025,0.9534236192703247,1390,10926,195.33,209,-0.14197367429733276,140,,
-24.14588041305542,0.013896131,0.2,2457600,0.103253173828125,1.0102455615997314,0.04121500588953495,1178.90496839,-0.021706507506314664,0.00025,0.9538199305534363,1490,10927,227.82,224,-0.14446420967578888,150,,
-24.163319492340086,0.015144678,0.2,2621440,0.12032470703125,1.0117237567901611,0.04157571010291576,1233.42062992,-0.022069698432460427,0.00025,0.9564257264137268,1590,10922,237.53,239,-0.143154576420784,160,,
-24.23617868423462,0.014610143,0.2,2785280,0.122955322265625,1.0167180299758911,0.0400003120303154,1559.73125066,-0.021887997863814235,0.00025,0.9485738277435303,1690,10920,295.3,255,-0.1431325525045395,170,,
-24.288168048858644,0.014838099,0.2,2949120,0.1221923828125,1.0216346979141235,0.041729394160211083,1689.1755476100004,-0.022313947381917387,0.00025,0.9436779022216797,1790,10918,317.09,270,-0.14447563886642456,180,,
-24.363001537322997,0.015500195,0.2,3112960,0.1288330078125,1.0270758867263794,0.04122211039066315,2081.87630447,-0.022681543964426964,0.00025,0.944812536239624,1890,10914,387.76,285,-0.14612917602062225,190,,
