train/policy_gradient_loss,time/iterations,train/learning_rate,time/total_timesteps,train/explained_variance,train/n_updates,train/clip_range,train/loss,train/std,train/clip_fraction,train/approx_kl,rollout/ep_rew_mean,rollout/ep_len_mean,train/entropy_loss,time/time_elapsed,time/fps,train/value_loss,eval/mean_ep_length,eval/mean_reward
-0.011250585853122174,10,0.0003,327680,0.7735269069671631,90,0.2,-0.07558012008666992,1.0038416385650635,0.074908447265625,0.009258501,634.70227529,46.04,-24.196132850646972,41,7882,0.2838327005505562,,
-0.010926646995358169,20,0.0003,655360,0.9060195684432983,190,0.2,-0.11674823611974716,1.0011082887649536,0.0561248779296875,0.008285815,812.0896959500002,59.92,-24.13210325241089,84,7751,0.11033502072095872,,
-0.01223587171989493,30,0.0003,983040,0.9330099821090698,290,0.2,-0.12489598989486694,1.000905156135559,0.072344970703125,0.00903991,917.4665769100002,67.02,-24.11169490814209,126,7784,0.07691810950636864,,
-0.012746997189242392,,0.0003,1000000,0.9315527081489563,300,0.2,-0.12532515823841095,1.0015032291412354,0.072467041015625,0.010040952,,,-24.119318389892577,,,0.07897878177464009,105.0,1498.819124418497
-0.012450656353030354,40,0.0003,1310720,0.9485402703285217,390,0.2,-0.1306239515542984,1.0021204948425293,0.0715850830078125,0.009552311,966.8938214499999,70.69,-24.11375198364258,170,7709,0.0593359649181366,,
-0.013493050471879542,50,0.0003,1638400,0.9492834806442261,490,0.2,-0.1327989548444748,1.003684163093567,0.0801483154296875,0.0103596505,1064.3894376399999,77.98,-24.12643880844116,213,7691,0.05899370238184929,,
-0.013756830501370132,60,0.0003,1966080,0.9540439248085022,590,0.2,-0.1335199773311615,1.0077252388000488,0.084637451171875,0.010663472,1114.2070836799999,80.99,-24.169484043121336,255,7706,0.054577107354998586,,
-0.014161231694743037,,0.0003,2000000,0.9619024991989136,610,0.2,-0.13645844161510468,1.0079612731933594,0.089056396484375,0.010856119,,,-24.170905685424806,,,0.04449522774666548,111.4,1677.0102708816528
-0.013782609871122986,70,0.0003,2293760,0.9627030491828918,690,0.2,-0.135414257645607,1.007534146308899,0.0861297607421875,0.010474876,1227.3561980499999,88.2,-24.14975757598877,297,7720,0.045807203464210036,,
-0.014514422276988626,80,0.0003,2621440,0.9623087644577026,790,0.2,-0.13726486265659332,1.009583830833435,0.0906158447265625,0.010970996,1367.7689472399998,97.57,-24.155996990203857,338,7745,0.04645675327628851,,
