train/std,train/value_loss,time/iterations,rollout/ep_len_mean,train/loss,time/total_timesteps,train/n_updates,time/fps,train/entropy_loss,train/explained_variance,train/clip_range,rollout/ep_rew_mean,train/policy_gradient_loss,time/time_elapsed,train/learning_rate,train/approx_kl,train/clip_fraction,eval/mean_ep_length,eval/mean_reward
0.9990190863609314,0.2690115213394165,10,36.45,-0.0840652659535408,327680,90,5486,-24.120472526550294,0.7721592783927917,0.2,203.69165269000004,-0.014325237408047541,59,0.0003,0.013581425,0.1053466796875,,
0.9937339425086975,0.08599757142364979,20,54.1,-0.12558478116989136,655360,190,5542,-24.003285884857178,0.9290440082550049,0.2,282.25209981,-0.013807530939811841,118,0.0003,0.010479006,0.0909637451171875,,
0.9889888763427734,0.05968905370682478,30,59.93,-0.13028475642204285,983040,290,5572,-23.91177110671997,0.9513226747512817,0.2,325.95967231,-0.012701382790692151,176,0.0003,0.009384461,0.07606201171875,,
0.9883483648300171,0.05946614239364863,,,-0.1309555470943451,1000000,300,,-23.900430107116698,0.9513900279998779,0.2,,-0.013917966291774064,,0.0003,0.010774551,0.0864593505859375,72.4,426.8525098800659
0.9858111143112183,0.04977603275328875,40,63.94,-0.13320386409759521,1310720,390,5585,-23.836972045898438,0.960989236831665,0.2,357.00682484000004,-0.014051968441344797,234,0.0003,0.01163305,0.103466796875,,
0.9804592132568359,0.03991878088563681,50,69.03,-0.1331232786178589,1638400,490,5596,-23.722800540924073,0.9695761799812317,0.2,405.83590633,-0.013761807582341135,292,0.0003,0.011208727,0.100982666015625,,
0.9760854244232178,0.052785858139395715,60,77.68,-0.13068938255310059,1966080,590,5602,-23.628812885284425,0.963664174079895,0.2,460.55676568,-0.013738677767105401,350,0.0003,0.0115998825,0.10269775390625,,
0.974727988243103,0.04864999186247587,,,-0.1329040825366974,2000000,610,,-23.599901962280274,0.9667709469795227,0.2,,-0.014317275816574692,,0.0003,0.01198823,0.1093536376953125,98.0,697.6318645477295
0.9709463715553284,0.06310432814061642,70,86.94,-0.12915253639221191,2293760,690,5601,-23.53299036026001,0.9596580266952515,0.2,522.7420011400001,-0.013965527142863721,409,0.0003,0.01156688,0.0983062744140625,,
0.971272885799408,0.06022192034870386,80,90.13,-0.13013844192028046,2621440,790,5598,-23.490259456634522,0.960950493812561,0.2,557.8922553499999,-0.014485111949034036,468,0.0003,0.012358362,0.10821533203125,,
0.9724453091621399,0.06129192188382149,90,95.95,-0.12929092347621918,2949120,890,5598,-23.48721876144409,0.9615951776504517,0.2,628.86567749,-0.014514347084332257,526,0.0003,0.011932401,0.10482177734375,,
0.9741137027740479,0.06468628905713558,,,-0.12819913029670715,3000000,910,,-23.51571407318115,0.9614033699035645,0.2,,-0.014166149191441945,,0.0003,0.011875549,0.110552978515625,91.0,669.7680638551712
0.9761949181556702,0.061665499769151214,100,99.73,-0.12965895235538483,3276800,990,5594,-23.540267753601075,0.9609336256980896,0.2,663.2741590299999,-0.014448825223371386,585,0.0003,0.013804473,0.111651611328125,,
